"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","should display fallback title when lastRun is not provided [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge Unit Tests [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","",""
"","2","should render FAIL status with red styling [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge Unit Tests [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","",""
"","5","should render UNKNOWN status with gray styling [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge Unit Tests [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","",""
"","19","should display lastRun date in title attribute [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge Unit Tests [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","",""
"","3","should render PASS status with green styling [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge Unit Tests [story:UTS-2.2] [testType:unit] [service:frontend] [microservice:risk-ui]","",""
"","37","renders regression status badge [story:UTS-501] [testType:unit] [service:frontend] [microservice:risk-ui]","","Sun Nov 16 17:30:53 GMT 2025","passed","Sun Nov 16 17:30:53 GMT 2025","","RegressionStatusBadge-legacy.test.tsx","",""
